code, description
1,"خصوصي","PRIVATE"
2,"عمومي","PUBLIC"
3,"تحت التجربة","UNDER TRIAL"
4,"شرطة","POLICE"
5,"الجيش","ARMY"
6,"مؤقتة","TEMPORARY"
7,"تصدير","EXPORT"
8,"حكومي","GOVERNMENT"
9,"ضيافة","CEREMONIES"
10,"هيئة دبلوماسية","DIPLOMATIC"
11,"هيئة قنصلية","CONSULAR"
12,"منظمة دولية","INT. ORGANIZATION"
13,"التشريفات","CEREMONIES"
14,"نقل خاص","PRIVATE TRANSPORT"
15,"نقل عام","PUBLIC TRANSPORT"
16,"اجرة","TAXI"
17,"سياحية","TOURIST"
18,"تجارية","COMMERCIAL"
19,"الجمارك","CUSTOMS"
20,"دراجة نارية","Motorcycle"
21,"الدفاع المدني","CIVIL DEFENCE"
22,"قوات الامن الخاصة","SPECIAL SECURITY FORCES"
23,"الجنسية والاقامة","IMIGRATION & RESIDENCE"
24,"مشاغل والنقليات","WORKSHOPS & TRANSPORT"
25,"تأجير","RENT"
26,"بلدية","MUNICIPALITY"
27,"حرس محلي","LOCAL GUARDS"
28,"تحويل","TRASFER"
29,"آليات","trolly"
