code, arabic, english
100,"الدول العربية","ARABIC COUNTRY",
101,"الامارات","U.A.E",
103,"السعوديه","SAUDI ARABIAN",
105,"الكويت","KUWAITI",
107,"البحرين","BAHRAINIAN",
109,"قطر","QATARIAN",
111,"سلطنه عمان","OMANIAN",
113,"العراق","IRAQI",
115,"اليمن","YEMENI",
117,"لبنان","LEBANESE",
119,"سوريا","SYRIAN",
121,"الاردن","JORDANIAN",
123,"فلسطين","PALESTINIAN",
125,"مصر","EGYPTIAN",
127,"ليبيا","LIBYAN",
129,"تونس","TUNISIAN",
131,"الجزائر","ALGERIAN",
133,"المغرب","MOROCCO",
135,"موريتانيا","MORITANIAN",
137,"السودان","SUDANESE",
138,"جنوب السودان","SOUTH SUDANESE",
139,"الصومال","SUMALESE",
141,"جيبوتى","JIBOTIAN",
142,"اليمن الجنوبى","SOUTH YEMENI",
143,"اليمن الشمالى","NORTH YEMENI",
200,"الدول الاسيويه","ASIAN",
201,"ايران","IRANIAN",
202,"سمرقند","SAMARQAND",
203,"باكستان","PAKISTANIAN",
205,"الهند","INDIAN",
207,"بنغلادش","BANGALADESHI",
209,"افغانستان","AFGHANISTANI",
211,"بوتان","POTANIAN",
213,"ماينمار(بورما)","MINEMAR(BORMIAN)",
215,"كمبوديا","KAMBODIAN",
217,"سيرلانكا","SRILANKAN",
219,"الصين","CHINESE",
221,"تايوان","TIWANI",
223,"هونج كونج","HUNG KONG",
225,"سنغافوره","SANGPORIAN",
227,"كوريا الجنوبيه","SOUTH KORIAN",
228,"كوريا","KORYA",
229,"كوريا الشماليه","NORTH KORIAN",
231,"اليابان","JAPANESE",
233,"فيتنام","VIETNAMIAN",
235,"نيبال","NIPALI",
237,"الفلبين","FILIPINO",
239,"تايلاند","TAYLANDI",
241,"ماليزيا","MALAYZIAN",
243,"اندونيسيا","INDONISIAN",
245,"لاووس","LAOUSI",
249,"منغوليا","MENGOLIAN",
251,"انتيغويا","ANTIGWA",
253,"بروناى","BRONAI",
255,"تونجا","TONJA",
257,"مالديفيا","MALDIVI",
259,"ماكاويا","MAKAWI",
261,"كازاخستان","KAZAKHISTANI",
262,"كرغستان","KARGHASTAN",
263,"ارمينيا","ARMINIAN",
264,"داغستان","DAGHASTAN",
265,"اذربيجان","ATHERBIJANIAN",
267,"طاجكستان","TAJUKSTANIAN",
268,"قيرقستان","KERKASTAN",
269,"تركمانستان","TORKOMNSTANI",
270,"دولي","INT. WATER BORDER",
271,"اوزبكستان","OSPEKSTANI",
272,"اقليمي","SEALING.SHEAP",
273,"جورجيا","JORJIAN",
275,"قرغيزيا","KARGISIAN",
276,"جزر الفارو","ALFARO IELANDS",
299,"اسيويه غير محدده","UNLIMITED ASIAN",
300,"الدول الافريقيه","AFRICAN COUNTRIES",
301,"جزر القمر","COMOROS",
303,"ارتيريا","ERITREA",
305,"انجوليا","ANJOLIAN",
307,"بوروندى","BORONDIAN",
309,"الكاميرون","KAMIRON",
311,"تشاد","CHADIAN",
313,"كونغو","KONGIAN",
315,"داهوميا","DAHOMI",
317,"اثيوبيا","ETHIOBIAN",
319,"غانا","GHANIAN",
321,"غينيا","GHENIAN",
323,"ساحل العاج","AJ COAST",
325,"كينيا","KINIAN",
327,"ليبيريا","LIBERIAN",
329,"مدغشقر","MADGASHQARI",
331,"زيمبابوى","ZIMBABIAN",
333,"مالاويا","MALAWI",
335,"مالى","MALIAN",
337,"موزمبيق","MOZANBIQIAN",
339,"النيجر","NIJERIAN",
341,"نيجيريا","NIJERIAN",
343,"رواندا","RWANDIAN",
345,"السنغال","SINGALESE",
347,"سيراليون","SIRALIONI",
349,"جنوب افريقيا","SOUTH AFRICAN",
351,"بوركينا فاسو","PORKINAN FASO",
353,"تنزانيا","TANZANIAN",
355,"توجو","TOJOIN",
357,"اوغندا","OGHANDIAN",
359,"زامبيا","ZAMBIAN",
361,"زائير","ZAERI",
363,"افريقيا الوسطى","MIDDLE AFRICA",
365,"جزر الراس الاخضر","GREEN HEAD ISLAND",
367,"موريشيوس","MORICHIOSI",
369,"بنين","BENINIAN",
371,"الجابون","JABONIAN",
373,"ناميبيا","NAMIBIAN",
375,"بتسوانيا","BITSWANIAN",
377,"ليسوتو","LISOTIAN",
379,"سوازيلاند","SWAZLANDIAN",
381,"غامبيا","GAMBIAN",
383,"سيشل","SICHILIAN",
385,"غينيا بيساو","GINIAN BIS",
389,"سانت كريستوفر","ST CHRISTOPHER",
391,"كيريباتى","KIRIBATI",
393,"كابو فيردى","CABO VERDE",
395,"ساو توم","SAO TOME",
399,"افريقيه غير محدده","UNLIMITED AFRICAN",
400,"الدول الاوروبيه","EUROPE COUNTRIES",
401,"بريطانيا","BRITISH",
403,"فرنسا","FRENCH",
405,"ايطاليا","ITALIAN",
407,"المانيا","GERMANIAN",
